Model,href,Exterior color,Interior color,Drivetrain,MPG,Fuel type,Transmission,Engine,VIN,Stock #,Mileage,Accidents or damage,1-owner vehicle,Personal use only,Price
2021 Volvo XC40 Recharge Pure Electric P8,/vehicledetail/bd2ddd14-e653-47c4-b138-de9cbdacf708/,Black,–,All-wheel Drive,Electric,1-Speed Automatic,Electric,YV4ED3UR6M2547236,K230269,"20,000 mi.",None reported,Yes,Yes,At least 1 open recall reported,"$46,271"
1995 Dodge Viper RT-10,/vehicledetail/e04fabf2-83aa-45a1-877a-c001b41b3c4a/,Black,Gray,Rear-wheel Drive,"12–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Manual,8.0L V10 SPFI OHV,1B3BR65E7SV200547,33139A,"35,515 mi.",None reported,No,Yes,"$39,000"
2017 Mercedes-Benz Metris Base,/vehicledetail/75dee6c8-a978-4251-b72d-db9d735eae8d/,Arctic White,Black,Rear-wheel Drive,"20–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WD4PG2EE2H3320205,CON205,"14,511 mi.",At least 1 accident or damage reported,No,Yes,"$65,000"
2019 Kia Sedona L,/vehicledetail/040846d9-b634-4f4d-aa69-3373c4cb8260/,Aurora Black,Gray,Front-wheel Drive,"18–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.3L V6 24V GDI DOHC,KNDMA5C18K6508698,K6508698,"20,697 mi.",None reported,Yes,Yes,"$26,150"
2023 Kia Sportage X-Line,/vehicledetail/a82637b4-f81e-4e7c-bc9a-17bbeb6dca62/,Glacial White Pearl,Black,All-wheel Drive,–,Gasoline,Automatic,2.5L I4 16V PDI DOHC,5XYK6CAF8PG036048,JS23127A,"2,010 mi.",None reported,Yes,Yes,"$32,390"
2021 Land Rover Range Rover Sport HSE Silver Edition,/vehicledetail/7f8cd709-e1a1-40c6-9670-40f453c5caf8/,Fuji White,Ebony,Four-wheel Drive,"19–24



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,V6,SALWR2SU4MA789306,L2635B,"28,153 mi.",None reported,Yes,Yes,"$73,590"
2021 Mercedes-Benz GLA 250 Base 4MATIC,/vehicledetail/b489775d-1d6f-4876-8764-6189d446804c/,Mountain Gray Metallic,Black,All-wheel Drive,"24–33



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,W1N4N4HB8MJ247324,BU05401,"40,039 mi.",None reported,No,No,"$31,500"
2023 Ford Maverick XLT,/vehicledetail/bbd1729b-f97b-4972-ace1-9dddb886f516/,Oxford White,Black Onyx,All-wheel Drive,"22–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"EcoBoost 2L I-4 gasoline direct injection, DOHC, Ti-VCT variable",3FTTW8G96PRA25302,JU5573,177 mi.,None reported,Yes,Yes,"$43,170"
2021 Cadillac XT6 Sport AWD,/vehicledetail/3d742c04-8327-433f-bcaa-525cfc47074f/?attribution_type=isa,Dark Moon Blue Metallic,Jet Black,All-wheel Drive,"18–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GYKPGRS2MZ143920,2143920,"29,715 mi.",None reported,Yes,Yes,"$49,221"
2015 Jaguar F-TYPE S,/vehicledetail/a97c9c1f-6e26-47a8-9376-b4945ffe5590/,Ultimate Black,Jet / Redzone / Jet,Rear-wheel Drive,"19–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,SAJWA6BC5F8K11546,3MV145,"17,464 mi.",None reported,No,Yes,"$42,361"
2019 Mercedes-Benz CLS 450 Base,/vehicledetail/1e4e2a7f-6785-49f0-b9c1-16f75fae6ee0/,Black,–,Rear-wheel Drive,"24–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,WDD2J5JBXKA014462,P135339A,"34,284 mi.",None reported,Yes,Yes,"$48,991"
2005 Porsche Boxster ,/vehicledetail/03fc1168-2cce-4de7-8617-9577c321d6ea/,Black,Tan,Rear-wheel Drive,"20–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Manual,2.7L H6 24V MPFI DOHC,WP0CA29895U712375,1413,"48,084 mi.",None reported,No,Yes,"$22,000"
2019 Porsche 718 Boxster Roadster,/vehicledetail/6846f719-fa91-4fce-a031-1884c96df0c5/,White,Black,Rear-wheel Drive,"21–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Manual,"2L H-4 gasoline direct injection, DOHC, VarioCam Plus variable v",WP0CA2A85KS210613,210613,"29,000 mi.",None reported,No,Yes,"$58,995"
2020 Porsche Cayenne E-Hybrid Coupe Base,/vehicledetail/02d75dd9-b9bf-4a24-969b-cfe52ebc0269/,White,–,All-wheel Drive,–,Hybrid,8-Speed Automatic,3.0L V6 24V GDI DOHC Turbo Hybrid,WP1BE2AY6LDA55123,MB230169A,"28,773 mi.",None reported,Yes,Yes,"$72,881"
2018 Porsche 911 Carrera GTS,/vehicledetail/fa6b5fbe-2294-43a3-b079-fdf148ddc41c/,White,Black,Rear-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,OTHER,3.0L H6 24V GDI DOHC Twin Turbo,WP0CB2A97JS147129,229171,"15,531 mi.",None reported,Yes,Yes,"$128,995"
2019 Porsche Cayenne Base,/vehicledetail/dd4e4967-2be6-42b3-916f-6b9a09ad42a8/,Black,Truffle Brown/Cohiba Brown,All-wheel Drive,"19–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,WP1AA2AY9KDA12286,C230499A,"31,112 mi.",At least 1 accident or damage reported,No,Yes,"$53,988"
2021 Audi R8 5.2 V10,/vehicledetail/d0b5073d-fba7-4c4f-8413-23260806e21f/,White,Red,Rear-wheel Drive,"14–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"5.2L V-10 port/direct injection, DOHC, variable valve control, e",WUABAAFXXM7900789,M7900789STK,"11,048 mi.",None reported,No,Yes,"$230,000"
2018 BMW X3 xDrive30i,/vehicledetail/51aaf381-70f1-4c0c-90a4-45aa3af2da21/,White,Black,All-wheel Drive,"22–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,5UXTR9C51JLD63729,8M30401A,"59,148 mi.",None reported,No,Yes,"$27,994"
2008 Volkswagen R32 R32 (A6) (EOP CW 10/08),/vehicledetail/172f2bc0-d427-4bb3-afb6-4b0382a1c8d4/,White,Black,All-wheel Drive,"18–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic with Auto-Shift,3.2L V6 24V MPFI DOHC,WVWKC71KX8W270516,66463841,"81,310 mi.",At least 1 accident or damage reported,No,Yes,"$19,991"
2021 Audi RS 6 Avant 4.0T quattro,/vehicledetail/c355032c-103a-4f29-ab88-d1f47221311f/,Mythos Black Metallic,Black / Express Red,All-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,WUA1CBF20MN903521,15474A,"4,962 mi.",None reported,Yes,No,"$124,990"
2018 Volvo XC90 T6 R-Design,/vehicledetail/35d9f800-0d4d-4d8e-94c0-473dd71fbc7b/,Black,Black,All-wheel Drive,"20–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC,YV4A22PM7J1345117,12744,"41,600 mi.",None reported,Yes,Yes,"$34,880"
2015 Cadillac Escalade Luxury,/vehicledetail/ecb04e54-f1b0-4cc8-a7a4-2c11c7c953fd/,Dark Granite Metallic,Jet Black,Four-wheel Drive,"15–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4BKJ1FR268178,U13792,"84,089 mi.",None reported,Yes,No,"$33,537"
2016 Chevrolet Impala 2LZ,/vehicledetail/bddca34b-0e5d-448e-8a54-6338c4ad48c0/,Silver,Black,Front-wheel Drive,"19–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",E85 Flex Fuel,6-Speed Automatic,3.6L V6 24V GDI DOHC Flexible Fuel,2G1145S34G9109518,ZAS109518,"105,665 mi.",None reported,No,No,"$15,999"
2012 Jaguar XK Base,/vehicledetail/5fb85774-8309-42bd-bab5-d6742d35ecda/,Midnight Black,London Tan / Charcoal,Rear-wheel Drive,"16–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.0L V8 32V GDI DOHC,SAJWA4GB4CLB46088,B46088,"53,795 mi.",At least 1 accident or damage reported,No,Yes,"$22,995"
2022 Jeep Grand Wagoneer Series II,/vehicledetail/d4a9fb8c-9454-4d7f-b48f-1f8993ae57d5/,Diamond Black,Global Black,Four-wheel Drive,"13–18



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,6.4L V8 16V MPFI OHV,1C4SJVFJ1NS148950,X22953A,"8,357 mi.",None reported,Yes,Yes,"$87,790"
2016 Kia Sorento SX,/vehicledetail/2bed89ef-259a-4560-ab80-36c70136ec99/,Ebony Black,Satin Black,Front-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.3L V6 24V GDI DOHC,5XYPK4A5XGG166931,G382982A,"100,103 mi.",None reported,Yes,Yes,"$16,582"
2020 Honda CR-V Hybrid EX,/vehicledetail/0c90c798-043a-4f01-9f56-c738e05f0425/?attribution_type=isa,Lunar Silver Metallic,Gray,All-wheel Drive,"40–35



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,7FART6H56LE009474,12196,"20,866 mi.",None reported,Yes,Yes,"$33,588"
2021 Lincoln Nautilus Reserve,/vehicledetail/f7ed294d-81a2-4300-8aae-55373c4d1398/,Ceramic Pearl,Ebony,All-wheel Drive,"20–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,2LMPJ8K95MBL12776,F86370,"7,184 mi.",None reported,Yes,No,"$45,887"
2013 Jeep Wrangler Unlimited Rubicon,/vehicledetail/57ceafdd-3022-4259-af78-76d2b18fe8be/,Anvil Clearcoat,Black,Four-wheel Drive,"16–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4BJWFG1DL646939,PN3854,"117,489 mi.",At least 1 accident or damage reported,Yes,No,"$24,399"
2013 Audi A4 2.0T Premium,/vehicledetail/79b48950-e85b-4d5b-898d-ec2318cf3921/,White,Beige,Front-wheel Drive,"24–31



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,",WAUAFAFL8DN049897,049897,"124,208 mi.",None reported,Yes,No,"$10,999"
2020 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology R-Line,/vehicledetail/8397b9dd-b59a-4d23-917b-4352f7d5f146/,Pure White,Titan Black,All-wheel Drive,"16–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1V26E2CA6LC220983,V41320T,"18,773 mi.",None reported,Yes,Yes,"$36,987"
2020 Chevrolet Tahoe LT,/vehicledetail/82a2585d-7aa4-48b3-82ef-859c75fd4007/,Black,Jet Black,Rear-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-speed automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GNSCBKC7LR300208,CP8129,"18,907 mi.",None reported,No,No,"$48,994"
2020 Lincoln MKZ Reserve,/vehicledetail/828c6a92-7c10-40df-bd6d-12b16a37f722/,Infinite Black Metallic,Ebony,All-wheel Drive,"20–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5F90LR605866,605866,"4,057 mi.",None reported,No,Yes,"$34,990"
2020 BMW M850 i xDrive,/vehicledetail/8ee3fe4a-6dbb-4ae9-9629-f4a1e9306088/,Black Sapphire Metallic,Fiona Red/Black,All-wheel Drive,"17–25



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,"4.4L V-8 gasoline direct injection, DOHC, Double VANOS variable",WBAFY4C00LCE86074,11135A,"3,480 mi.",None reported,Yes,Yes,"$87,946"
2021 Mercedes-Benz AMG GLE 53 Base,/vehicledetail/2a596498-ab98-490e-a2d7-a1b15b0c91b6/?attribution_type=isa,Mojave Silver Metallic,Black,All-wheel Drive,"18–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFB6BB0MA288930,88930LP,"16,475 mi.",None reported,Yes,Yes,"$78,500"
2022 Ford F-350 Lariat,/vehicledetail/9df8d5ca-ec34-4a18-a591-618db16b1838/,Atlas Blue,Baja,Four-wheel Drive,"0–0



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Diesel,Automatic,"Powerstroke 6.7L V-8 diesel direct injection, intercooled turbo,",1FT8W3BT1NED21209,KP0189,"5,446 mi.",None reported,Yes,Yes,"$84,423"
2022 Jeep Wrangler Unlimited Rubicon,/vehicledetail/cb678183-19a7-41a7-91aa-61232ffe51c2/,Limited Edition Tuscadero Pearlcoat,Black,Four-wheel Drive,"17–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4HJXFN3NW112338,JLUT9451,"18,189 mi.",None reported,Yes,Yes,"$50,490"
2010 Nissan Altima 2.5 S,/vehicledetail/a5cd344e-66f4-449b-96c2-297cd219d4a8/,Crimson Black,Charcoal,Front-wheel Drive,"23–32



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,2.5L I4 16V MPFI DOHC,1N4AL2EP7AC177051,R7609A,"131,514 mi.",At least 1 accident or damage reported,No,Yes,"$5,495"
2017 Audi A8 3.0 TFSI,/vehicledetail/ad358e9d-f086-43f9-b327-dc0aaabc5d07/,Glacier White Metallic,Velvet Beige,All-wheel Drive,"19–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,Intercooled Supercharger Premium Unleaded V-6 3.0 L/183,WAU44AFD0HN012389,P8161,"36,279 mi.",None reported,No,No,"$38,988"
2018 Lincoln MKZ Reserve,/vehicledetail/eb62e186-286d-4502-a2d5-abc9f10d2254/,Gray,Black,All-wheel Drive,"20–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,3LN6L5F9XJR626897,Z221752,"33,454 mi.",None reported,Yes,Yes,"$29,995"
2017 GMC Yukon XL SLT,/vehicledetail/7fae4ec5-812a-4edf-bd05-50d317ec1e4f/,Black Cherry Metallic,Jet Black,Four-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GKS2GKC0HR306212,73214C,"76,690 mi.",None reported,No,Yes,"$34,950"
2020 GMC Yukon XL Denali,/vehicledetail/aad79b40-0e2a-42a5-959d-753b049bc9dd/,White Frost Tri-Coat,Cocoa / Shale,Four-wheel Drive,"14–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2HKJ7LR108529,FP2620B,"66,899 mi.",None reported,Yes,No,"$53,839"
2017 Chevrolet Suburban Premier,/vehicledetail/790b86ab-734d-4d4c-a6d5-4f8c8f9efd2b/,Silver,Black,Rear-wheel Drive,"16–23



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSCJKCXHR337531,13135,"87,292 mi.",None reported,No,Yes,"$35,900"
2017 Chevrolet Suburban Premier,/vehicledetail/05ab20a9-5554-46a4-a074-54896a7a6ee3/,Iridescent Pearl Tricoat,Cocoa / Dune,Four-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKJKC5HR202220,23578A,"79,478 mi.",None reported,No,Yes,"$37,999"
2020 Chevrolet Tahoe Premier,/vehicledetail/78d48d46-3ee7-4969-b085-b6bdd6a54507/,Siren Red Tintcoat,Cocoa / Dune,Four-wheel Drive,"15–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,5.3L V8 16V GDI OHV,1GNSKCKC9LR192070,15586P,"28,891 mi.",None reported,Yes,No,"$58,900"
2017 Chevrolet Suburban Premier,/vehicledetail/c267974a-213e-4296-a10e-5fc7cd029a9a/,Iridescent Pearl Tricoat,Cocoa / Dune,Four-wheel Drive,"15–22



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,5.3L V8 16V GDI OHV,1GNSKJKC1HR369870,23B148AJS,"32,446 mi.",None reported,Yes,Yes,"$46,987"
2020 GMC Sierra 1500 ,/vehicledetail/92fd799a-dd90-47a4-8246-8c54ffed1cfe/,Black,Black,Four-wheel Drive,"15–20



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic,2.7L I4 16V GDI DOHC Turbo,1GTP9AEK3LZ254581,5603,"43,756 mi.",None reported,No,No,"$44,950"
2023 Ford F-150 Raptor,/vehicledetail/03ff3d90-8d98-444f-bd0a-a79a62e7c7ac/,Azure Gray Metallic,Black,Four-wheel Drive,–,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTFW1RG6PFA39407,23189A,"1,817 mi.",None reported,Yes,No,"$87,800"
2014 Cadillac CTS 2.0L Turbo,/vehicledetail/be90b3ef-05c0-494c-b257-864b6bdb6e7d/,White,Black,Rear-wheel Drive,"20–30



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1G6AP5SX9E0141733,V4173,"124,064 mi.",None reported,Yes,No,"$14,995"
2017 Cadillac CT6 3.6L Luxury,/vehicledetail/71c86ed4-e535-49d1-8d84-618b058f13e6/,Black Raven,Jet Black,All-wheel Drive,"18–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,3.6L V6 24V GDI DOHC,1G6KD5RS7HU124594,HU124594,"41,141 mi.",At least 1 accident or damage reported,No,Yes,"$30,000"
2009 Chevrolet Corvette ,/vehicledetail/7915fdc4-5ccd-4021-b57e-c8fff796fbb6/,Blade Silver Metallic,Ebony,Rear-wheel Drive,–,Gasoline,6-Speed Automatic,6.2L V8 16V MPFI OHV,1G1YY26W395109192,VC15102,"30,413 mi.",None reported,No,Yes,"$29,985"
2023 Cadillac CT4 Sport,/vehicledetail/dda083f9-5531-4695-8c4c-cee6a30d6c2d/,Summit White,Jet Black,All-wheel Drive,–,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1G6DG5RK3P0102940,4684A,751 mi.,None reported,Yes,Yes,"$43,991"
2023 Chevrolet Silverado 2500 Custom,/vehicledetail/f2a0c609-4514-48f1-95e1-e7759b5772cb/,Black,Black,Four-wheel Drive,–,Gasoline,6-Speed Automatic,6.6L V8 16V GDI OHV,1GC4YME74PF114422,PMT114422,"4,615 mi.",None reported,Yes,Yes,"$59,900"
2022 Kia Sorento S,/vehicledetail/4b51ab0d-57f9-485b-bbc4-d85465677f11/?attribution_type=isa,Glacial White Pearl,Gray,Front-wheel Drive,"24–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,5XYRL4LC1NG087002,KPG102788A,"18,803 mi.",None reported,Yes,Yes,"$34,499"
2013 MINI Hardtop Cooper S,/vehicledetail/1eb0f323-24b1-4df1-895b-f4fe61aa113e/,Blue Metallic,Rockline Anthracite,Front-wheel Drive,"26–35



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic Steptronic,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",WMWSV3C53DT390127,U23343,"42,172 mi.",None reported,No,Yes,"$16,950"
2020 GMC Acadia Denali,/vehicledetail/c3d0e9b9-4a3b-4a4a-b5e9-a5806571181a/,Summit White,Jet Black,Front-wheel Drive,"19–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.6L V6 24V GDI DOHC,1GKKNPLS4LZ207771,P3202A,"37,910 mi.",At least 1 accident or damage reported,Yes,Yes,"$35,500"
2017 Chevrolet Impala Premier 2LZ,/vehicledetail/77f5d3be-10ba-4a2c-99cf-b8a3002b3376/,Mosaic Black Metallic,Jet Black,Front-wheel Drive,"18–28



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,6-Speed Automatic,3.6L V6 24V GDI DOHC,1G1145S30HU161085,HU161085,"98,707 mi.",None reported,Yes,Yes,"$17,991"
2017 Honda Pilot Elite,/vehicledetail/02433e32-3902-42b6-aa33-63744792e922/,White Diamond Pearl,Black,All-wheel Drive,"19–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H03HB099760,HP12002A,"44,256 mi.",None reported,No,Yes,"$34,500"
2018 Buick Regal TourX Essence,/vehicledetail/d854d8d5-83d8-412e-afb7-cd9dfcb946ab/,Ebony Twilight Metallic,Ebony,All-wheel Drive,"21–29



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,W04GV8SX1J1149368,723168D,"23,914 mi.",None reported,Yes,Yes,"$28,578"
2019 Cadillac Escalade ESV Premium Luxury,/vehicledetail/571ae47f-e2fe-4236-bd9c-e273fa01ab3e/,Crystal White Tri-Coat,Jet Black,Four-wheel Drive,"14–21



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GYS4JKJ3KR225398,CP2325A,"53,939 mi.",None reported,Yes,Yes,"$52,900"
2023 Mazda CX-50 2.5 S Premium Plus Package,/vehicledetail/377ad905-daa4-49e1-a6fe-4e3588b74669/,Polymetal Gray Metallic,Black,All-wheel Drive,–,Gasoline,6-Speed Automatic,2.5L I4 16V,7MMVABEM9PN102114,U52895,"13,842 mi.",None reported,Yes,Yes,"$37,841"
2016 Mitsubishi Outlander Sport ES,/vehicledetail/762d107f-3552-4608-88d4-8ed0b58519e8/,Gray,–,Four-wheel Drive,"22–27



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,Automatic CVT,2.4L I4 16V MPFI DOHC,JA4AR3AW2GZ047044,M10192,"108,362 mi.",None reported,No,Yes,"$11,950"
2017 Acura MDX 3.5L,/vehicledetail/ff9a114e-e8e9-4ff2-9523-d40a7511e95f/,Red,Espresso,All-wheel Drive,"18–26



Based on EPA mileage ratings. Use for comparison purposes only. Actual mileage will vary depending on driving conditions, driving habits, vehicle maintenance, and other factors.",Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FRYD4H30HB015347,PJ229416A,"79,780 mi.",At least 1 accident or damage reported,Yes,No,"$25,968"
